"long","lat","group","order","region","subregion"
11.832953453064,46.5001106262207,1,1,"Bolzano-Bozen",NA
11.8108949661255,46.5278396606445,1,2,"Bolzano-Bozen",NA
11.7306804656982,46.5189018249512,1,3,"Bolzano-Bozen",NA
11.6911468505859,46.5225715637207,1,4,"Bolzano-Bozen",NA
11.650408744812,46.5072135925293,1,5,"Bolzano-Bozen",NA
11.6328191757202,46.4804534912109,1,6,"Bolzano-Bozen",NA
11.6349391937256,46.4505500793457,1,7,"Bolzano-Bozen",NA
11.6292667388916,46.4235038757324,1,8,"Bolzano-Bozen",NA
11.5911083221436,46.3836250305176,1,9,"Bolzano-Bozen",NA
11.570481300354,46.3705062866211,1,10,"Bolzano-Bozen",NA
11.5303745269775,46.3632850646973,1,11,"Bolzano-Bozen",NA
11.4911842346191,46.3722801208496,1,12,"Bolzano-Bozen",NA
11.4617347717285,46.3430633544922,1,13,"Bolzano-Bozen",NA
11.441107749939,46.3299407958984,1,14,"Bolzano-Bozen",NA
11.3964748382568,46.3118934631348,1,15,"Bolzano-Bozen",NA
11.3765354156494,46.3095436096191,1,16,"Bolzano-Bozen",NA
11.367826461792,46.2961921691895,1,17,"Bolzano-Bozen",NA
11.3871355056763,46.28759765625,1,18,"Bolzano-Bozen",NA
11.398250579834,46.2737922668457,1,19,"Bolzano-Bozen",NA
11.3781394958496,46.2688026428223,1,20,"Bolzano-Bozen",NA
11.3356828689575,46.288688659668,1,21,"Bolzano-Bozen",NA
11.2938575744629,46.2488098144531,1,22,"Bolzano-Bozen",NA
11.2732887268066,46.2356300354004,1,23,"Bolzano-Bozen",NA
11.2331809997559,46.2255477905273,1,24,"Bolzano-Bozen",NA
11.2134141921997,46.2259483337402,1,25,"Bolzano-Bozen",NA
11.1942195892334,46.2372360229492,1,26,"Bolzano-Bozen",NA
11.1759433746338,46.2647361755371,1,27,"Bolzano-Bozen",NA
11.1568632125854,46.2787170410156,1,28,"Bolzano-Bozen",NA
11.1623067855835,46.3057632446289,1,29,"Bolzano-Bozen",NA
11.1992053985596,46.3294792175293,1,30,"Bolzano-Bozen",NA
11.2165660858154,46.3562965393066,1,31,"Bolzano-Bozen",NA
11.2187423706055,46.3970336914062,1,32,"Bolzano-Bozen",NA
11.2018404006958,46.4516944885254,1,33,"Bolzano-Bozen",NA
11.1907253265381,46.465503692627,1,34,"Bolzano-Bozen",NA
11.1714162826538,46.476734161377,1,35,"Bolzano-Bozen",NA
11.1518783569336,46.4825172424316,1,36,"Bolzano-Bozen",NA
11.112114906311,46.4833221435547,1,37,"Bolzano-Bozen",NA
11.0928640365601,46.4944953918457,1,38,"Bolzano-Bozen",NA
11.0823221206665,46.5218811035156,1,39,"Bolzano-Bozen",NA
11.0581998825073,46.5168991088867,1,40,"Bolzano-Bozen",NA
11.018609046936,46.5203323364258,1,41,"Bolzano-Bozen",NA
10.9983253479004,46.5125427246094,1,42,"Bolzano-Bozen",NA
11.0016498565674,46.4989051818848,1,43,"Bolzano-Bozen",NA
11.0602054595947,46.4788551330566,1,44,"Bolzano-Bozen",NA
11.0674819946289,46.4650993347168,1,45,"Bolzano-Bozen",NA
11.054877281189,46.4517517089844,1,46,"Bolzano-Bozen",NA
11.0154571533203,46.4579391479492,1,47,"Bolzano-Bozen",NA
10.9571304321289,46.4834365844727,1,48,"Bolzano-Bozen",NA
10.9372482299805,46.4837760925293,1,49,"Bolzano-Bozen",NA
10.8749113082886,46.4277992248535,1,50,"Bolzano-Bozen",NA
10.8549146652222,46.4253921508789,1,51,"Bolzano-Bozen",NA
10.8156671524048,46.4342193603516,1,52,"Bolzano-Bozen",NA
10.8004264831543,46.4480247497559,1,53,"Bolzano-Bozen",NA
10.7824926376343,46.4890518188477,1,54,"Bolzano-Bozen",NA
10.7622108459473,46.481201171875,1,55,"Bolzano-Bozen",NA
10.7292079925537,46.4545593261719,1,56,"Bolzano-Bozen",NA
10.7089815139771,46.4467658996582,1,57,"Bolzano-Bozen",NA
10.6689319610596,46.4392051696777,1,58,"Bolzano-Bozen",NA
10.6255025863647,46.4452743530273,1,59,"Bolzano-Bozen",NA
10.5474081039429,46.4763298034668,1,60,"Bolzano-Bozen",NA
10.449089050293,46.5021133422852,1,61,"Bolzano-Bozen",NA
10.394829750061,46.5439949035645,1,62,"Bolzano-Bozen",NA
10.4218158721924,46.5526504516602,1,63,"Bolzano-Bozen",NA
10.4475994110107,46.5394134521484,1,64,"Bolzano-Bozen",NA
10.4592304229736,46.5394134521484,1,65,"Bolzano-Bozen",NA
10.4675378799438,46.5445137023926,1,66,"Bolzano-Bozen",NA
10.487133026123,46.59619140625,1,67,"Bolzano-Bozen",NA
10.4842109680176,46.6168212890625,1,68,"Bolzano-Bozen",NA
10.4659337997437,46.6329231262207,1,69,"Bolzano-Bozen",NA
10.4474267959595,46.6395111083984,1,70,"Bolzano-Bozen",NA
10.40159034729,46.6384201049805,1,71,"Bolzano-Bozen",NA
10.3988399505615,46.6571006774902,1,72,"Bolzano-Bozen",NA
10.384744644165,46.6799049377441,1,73,"Bolzano-Bozen",NA
10.419695854187,46.7114143371582,1,74,"Bolzano-Bozen",NA
10.4192943572998,46.7198944091797,1,75,"Bolzano-Bozen",NA
10.4066896438599,46.7318115234375,1,76,"Bolzano-Bozen",NA
10.4088096618652,46.7383995056152,1,77,"Bolzano-Bozen",NA
10.444619178772,46.7534713745117,1,78,"Bolzano-Bozen",NA
10.4314413070679,46.7893943786621,1,79,"Bolzano-Bozen",NA
10.4525260925293,46.8061256408691,1,80,"Bolzano-Bozen",NA
10.4533863067627,46.8230857849121,1,81,"Bolzano-Bozen",NA
10.4677095413208,46.8386116027832,1,82,"Bolzano-Bozen",NA
10.4712047576904,46.8602714538574,1,83,"Bolzano-Bozen",NA
10.4937219619751,46.8469200134277,1,84,"Bolzano-Bozen",NA
10.523229598999,46.8445129394531,1,85,"Bolzano-Bozen",NA
10.54700756073,46.8481254577637,1,86,"Bolzano-Bozen",NA
10.5483818054199,46.8415908813477,1,87,"Bolzano-Bozen",NA
10.5590963363647,46.8397026062012,1,88,"Bolzano-Bozen",NA
10.6096315383911,46.8622779846191,1,89,"Bolzano-Bozen",NA
10.6688175201416,46.8706970214844,1,90,"Bolzano-Bozen",NA
10.6951742172241,46.8508720397949,1,91,"Bolzano-Bozen",NA
10.7213010787964,46.8453712463379,1,92,"Bolzano-Bozen",NA
10.7576837539673,46.829273223877,1,93,"Bolzano-Bozen",NA
10.7567090988159,46.8201065063477,1,94,"Bolzano-Bozen",NA
10.7329893112183,46.8003959655762,1,95,"Bolzano-Bozen",NA
10.7360830307007,46.7928924560547,1,96,"Bolzano-Bozen",NA
10.7571678161621,46.7903137207031,1,97,"Bolzano-Bozen",NA
10.7912015914917,46.7932319641113,1,98,"Bolzano-Bozen",NA
10.8105096817017,46.778621673584,1,99,"Bolzano-Bozen",NA
10.8514766693115,46.7756996154785,1,100,"Bolzano-Bozen",NA
10.8746814727783,46.7664756774902,1,101,"Bolzano-Bozen",NA
10.9316911697388,46.77392578125,1,102,"Bolzano-Bozen",NA
10.9848613739014,46.7664756774902,1,103,"Bolzano-Bozen",NA
10.9990139007568,46.7691688537598,1,104,"Bolzano-Bozen",NA
11.0092697143555,46.7652168273926,1,105,"Bolzano-Bozen",NA
11.0250825881958,46.7702026367188,1,106,"Bolzano-Bozen",NA
11.0410680770874,46.7982177734375,1,107,"Bolzano-Bozen",NA
11.0757894515991,46.8207931518555,1,108,"Bolzano-Bozen",NA
11.0756750106812,46.8582077026367,1,109,"Bolzano-Bozen",NA
11.0988798141479,46.8857116699219,1,110,"Bolzano-Bozen",NA
11.097562789917,46.9062805175781,1,111,"Bolzano-Bozen",NA
11.1075887680054,46.9197998046875,1,112,"Bolzano-Bozen",NA
11.1092510223389,46.927417755127,1,113,"Bolzano-Bozen",NA
11.153769493103,46.934814453125,1,114,"Bolzano-Bozen",NA
11.1608743667603,46.943977355957,1,115,"Bolzano-Bozen",NA
11.1532545089722,46.9544105529785,1,116,"Bolzano-Bozen",NA
11.1669473648071,46.9626007080078,1,117,"Bolzano-Bozen",NA
11.2359313964844,46.9699935913086,1,118,"Bolzano-Bozen",NA
11.282341003418,46.9829978942871,1,119,"Bolzano-Bozen",NA
11.3029680252075,46.9839744567871,1,120,"Bolzano-Bozen",NA
11.3161458969116,46.9902725219727,1,121,"Bolzano-Bozen",NA
11.3506383895874,46.990104675293,1,122,"Bolzano-Bozen",NA
11.3897705078125,46.9703903198242,1,123,"Bolzano-Bozen",NA
11.4065580368042,46.967414855957,1,124,"Bolzano-Bozen",NA
11.4260387420654,46.9718818664551,1,125,"Bolzano-Bozen",NA
11.4475250244141,46.9894142150879,1,126,"Bolzano-Bozen",NA
11.4623641967773,46.9933090209961,1,127,"Bolzano-Bozen",NA
11.4655160903931,46.9980659484863,1,128,"Bolzano-Bozen",NA
11.4576663970947,47.0011024475098,1,129,"Bolzano-Bozen",NA
11.4616193771362,47.0070610046387,1,130,"Bolzano-Bozen",NA
11.4801836013794,47.0135383605957,1,131,"Bolzano-Bozen",NA
11.4989185333252,47.0135383605957,1,132,"Bolzano-Bozen",NA
11.5251607894897,47.0048828125,1,133,"Bolzano-Bozen",NA
11.5293426513672,47.0011596679688,1,134,"Bolzano-Bozen",NA
11.5166234970093,46.9968070983887,1,135,"Bolzano-Bozen",NA
11.5425214767456,46.983512878418,1,136,"Bolzano-Bozen",NA
11.5721426010132,46.9965782165527,1,137,"Bolzano-Bozen",NA
11.5800504684448,47.0076370239258,1,138,"Bolzano-Bozen",NA
11.5928268432617,47.0122756958008,1,139,"Bolzano-Bozen",NA
11.6259441375732,47.0133628845215,1,140,"Bolzano-Bozen",NA
11.6351680755615,47.000415802002,1,141,"Bolzano-Bozen",NA
11.6620969772339,46.9906730651855,1,142,"Bolzano-Bozen",NA
11.7040376663208,46.9933090209961,1,143,"Bolzano-Bozen",NA
11.7296495437622,46.9752616882324,1,144,"Bolzano-Bozen",NA
11.7482128143311,46.9731979370117,1,145,"Bolzano-Bozen",NA
11.7753143310547,46.9863204956055,1,146,"Bolzano-Bozen",NA
11.8140459060669,46.9886131286621,1,147,"Bolzano-Bozen",NA
11.8599967956543,47.0007019042969,1,148,"Bolzano-Bozen",NA
11.9323043823242,47.0357093811035,1,149,"Bolzano-Bozen",NA
