"long","lat","group","order","region","subregion"
-101.40779876709,29.7422389984131,1,1,"main",NA
-101.390609741211,29.7422389984131,1,2,"main",NA
-101.361961364746,29.6505641937256,1,3,"main",NA
-101.350509643555,29.6391067504883,1,4,"main",NA
-101.321853637695,29.6333770751953,1,5,"main",NA
-101.304672241211,29.6448383331299,1,6,"main",NA
-101.304672241211,29.621919631958,1,7,"main",NA
-101.316131591797,29.5818119049072,1,8,"main",NA
-101.304672241211,29.5646209716797,1,9,"main",NA
-101.281745910645,29.5703506469727,1,10,"main",NA
-101.270294189453,29.5932693481445,1,11,"main",NA
-101.26456451416,29.6161880493164,1,12,"main",NA
-101.247367858887,29.6104583740234,1,13,"main",NA
-101.230186462402,29.5932693481445,1,14,"main",NA
-101.235908508301,29.5531635284424,1,15,"main",NA
-101.25309753418,29.5359745025635,1,16,"main",NA
-101.241638183594,29.5073261260986,1,17,"main",NA
-101.201530456543,29.5073261260986,1,18,"main",NA
-101.155693054199,29.4786796569824,1,19,"main",NA
-101.104133605957,29.4729499816895,1,20,"main",NA
-101.075485229492,29.4500312805176,1,21,"main",NA
-101.05256652832,29.444299697876,1,22,"main",NA
-101.023918151855,29.364086151123,1,23,"main",NA
-100.960891723633,29.3354396820068,1,24,"main",NA
-100.903602600098,29.306791305542,1,25,"main",NA
-100.869216918945,29.2781429290771,1,26,"main",NA
-100.834838867188,29.2552242279053,1,27,"main",NA
-100.806198120117,29.2437648773193,1,28,"main",NA
-100.806198120117,29.2208461761475,1,29,"main",NA
-100.789001464844,29.1750087738037,1,30,"main",NA
-100.760360717773,29.1520938873291,1,31,"main",NA
-100.71452331543,29.1177139282227,1,32,"main",NA
-100.691604614258,29.0718765258789,1,33,"main",NA
-100.685874938965,29.0546894073486,1,34,"main",NA
-100.662948608398,28.9572868347168,1,35,"main",NA
-100.645767211914,28.911449432373,1,36,"main",NA
-100.622848510742,28.8885307312012,1,37,"main",NA
-100.588470458984,28.8828029632568,1,38,"main",NA
-100.594200134277,28.854154586792,1,39,"main",NA
-100.582740783691,28.8140468597412,1,40,"main",NA
-100.55982208252,28.8025875091553,1,41,"main",NA
-100.525444030762,28.7223720550537,1,42,"main",NA
-100.525444030762,28.6822662353516,1,43,"main",NA
-100.508255004883,28.6536197662354,1,44,"main",NA
-100.468147277832,28.6421604156494,1,45,"main",NA
-100.456687927246,28.6077823638916,1,46,"main",NA
-100.439498901367,28.5905952453613,1,47,"main",NA
-100.422309875488,28.5848636627197,1,48,"main",NA
-100.428039550781,28.5676765441895,1,49,"main",NA
-100.422309875488,28.5390281677246,1,50,"main",NA
-100.399398803711,28.5218391418457,1,51,"main",NA
-100.370742797852,28.5103797912598,1,52,"main",NA
-100.365020751953,28.4931907653809,1,53,"main",NA
-100.376472473145,28.470272064209,1,54,"main",NA
-100.370742797852,28.4530849456787,1,55,"main",NA
-100.342094421387,28.4301662445068,1,56,"main",NA
-100.330635070801,28.401517868042,1,57,"main",NA
-100.324913024902,28.3671398162842,1,58,"main",NA
-100.319183349609,28.332763671875,1,59,"main",NA
-100.301986694336,28.3155746459961,1,60,"main",NA
-100.29052734375,28.2869262695312,1,61,"main",NA
-100.273345947266,28.2582778930664,1,62,"main",NA
-100.227508544922,28.2238998413086,1,63,"main",NA
-100.198860168457,28.1952533721924,1,64,"main",NA
-100.181671142578,28.1723346710205,1,65,"main",NA
-100.135833740234,28.1494159698486,1,66,"main",NA
-100.084266662598,28.1264991760254,1,67,"main",NA
-100.055618286133,28.0863914489746,1,68,"main",NA
-100.021240234375,28.0348262786865,1,69,"main",NA
-99.9983291625977,27.9832592010498,1,70,"main",NA
-99.9754028320312,27.9660701751709,1,71,"main",NA
-99.9524917602539,27.9660701751709,1,72,"main",NA
-99.9352951049805,27.948881149292,1,73,"main",NA
-99.9295654296875,27.9145030975342,1,74,"main",NA
-99.8894577026367,27.8686676025391,1,75,"main",NA
-99.8722763061523,27.8171005249023,1,76,"main",NA
-99.8550872802734,27.7827224731445,1,77,"main",NA
-99.8264389038086,27.7655353546143,1,78,"main",NA
-99.7977828979492,27.7598037719727,1,79,"main",NA
-99.7863311767578,27.7311573028564,1,80,"main",NA
-99.751953125,27.6967792510986,1,81,"main",NA
-99.7175750732422,27.6624031066895,1,82,"main",NA
-99.6774673461914,27.6566715240479,1,83,"main",NA
-99.6545486450195,27.6280250549316,1,84,"main",NA
-99.6316299438477,27.6394844055176,1,85,"main",NA
-99.5456924438477,27.5879173278809,1,86,"main",NA
-99.5342330932617,27.5478115081787,1,87,"main",NA
-99.5342330932617,27.5077037811279,1,88,"main",NA
-99.4998550415039,27.501974105835,1,89,"main",NA
-99.5055847167969,27.4504070281982,1,90,"main",NA
-99.5113067626953,27.4103012084961,1,91,"main",NA
-99.5055847167969,27.3701934814453,1,92,"main",NA
-99.5227661132812,27.3415470123291,1,93,"main",NA
-99.5399627685547,27.3071689605713,1,94,"main",NA
-99.5055847167969,27.2957096099854,1,95,"main",NA
-99.4941253662109,27.2727909088135,1,96,"main",NA
-99.4425582885742,27.2384128570557,1,97,"main",NA
-99.4425582885742,27.2154941558838,1,98,"main",NA
-99.4368209838867,27.1238212585449,1,99,"main",NA
-99.4482879638672,27.0951747894287,1,100,"main",NA
-99.4654693603516,27.0607967376709,1,101,"main",NA
-99.4540176391602,27.0321483612061,1,102,"main",NA
-99.4253616333008,27.0035018920898,1,103,"main",NA
-99.4024505615234,26.980583190918,1,104,"main",NA
-99.390983581543,26.9404754638672,1,105,"main",NA
-99.3795318603516,26.9232883453369,1,106,"main",NA
-99.3451461791992,26.911828994751,1,107,"main",NA
-99.3165054321289,26.8659915924072,1,108,"main",NA
-99.2763977050781,26.8488025665283,1,109,"main",NA
-99.2076416015625,26.7055625915527,1,110,"main",NA
-99.2019119262695,26.659725189209,1,111,"main",NA
-99.1789932250977,26.6310787200928,1,112,"main",NA
-99.1560745239258,26.585241317749,1,113,"main",NA
-99.1560745239258,26.5508651733398,1,114,"main",NA
-99.0987777709961,26.4821090698242,1,115,"main",NA
-99.1045074462891,26.4305419921875,1,116,"main",NA
-99.0987777709961,26.4076251983643,1,117,"main",NA
-99.0701293945312,26.3961658477783,1,118,"main",NA
-99.0472183227539,26.4133548736572,1,119,"main",NA
-98.9899215698242,26.4018955230713,1,120,"main",NA
-98.9670028686523,26.3847064971924,1,121,"main",NA
-98.9326171875,26.3789768218994,1,122,"main",NA
-98.9097061157227,26.3675174713135,1,123,"main",NA
-98.8638687133789,26.3732471466064,1,124,"main",NA
-98.8294906616211,26.3675174713135,1,125,"main",NA
-98.8065719604492,26.3503284454346,1,126,"main",NA
-98.7721939086914,26.3388690948486,1,127,"main",NA
-98.7492752075195,26.3274116516113,1,128,"main",NA
-98.7435455322266,26.3102207183838,1,129,"main",NA
-98.669059753418,26.2471961975098,1,130,"main",NA
-98.6404190063477,26.2414665222168,1,131,"main",NA
-98.6289596557617,26.2586555480957,1,132,"main",NA
-98.5945816040039,26.2586555480957,1,133,"main",NA
-98.583122253418,26.2471961975098,1,134,"main",NA
-98.5716552734375,26.2414665222168,1,135,"main",NA
-98.5601959228516,26.2529258728027,1,136,"main",NA
-98.5372848510742,26.2471961975098,1,137,"main",NA
-98.5086364746094,26.2242794036865,1,138,"main",NA
-98.4914474487305,26.2242794036865,1,139,"main",NA
-98.4685287475586,26.2357368469238,1,140,"main",NA
-98.4570693969727,26.2242794036865,1,141,"main",NA
-98.4513397216797,26.2013607025146,1,142,"main",NA
-98.4341506958008,26.195629119873,1,143,"main",NA
-98.4112319946289,26.195629119873,1,144,"main",NA
-98.4055023193359,26.1727123260498,1,145,"main",NA
-98.388313293457,26.1669826507568,1,146,"main",NA
-98.3653945922852,26.1669826507568,1,147,"main",NA
-98.3482055664062,26.1669826507568,1,148,"main",NA
-98.3310165405273,26.1211471557617,1,149,"main",NA
-98.3195571899414,26.1211471557617,1,150,"main",NA
-98.3080978393555,26.132604598999,1,151,"main",NA
-98.2966384887695,26.132604598999,1,152,"main",NA
-98.2851791381836,26.1211471557617,1,153,"main",NA
-98.2851791381836,26.0982284545898,1,154,"main",NA
-98.2221603393555,26.075309753418,1,155,"main",NA
-98.1935043334961,26.075309753418,1,156,"main",NA
-98.1763229370117,26.069580078125,1,157,"main",NA
-98.1591262817383,26.0581207275391,1,158,"main",NA
-98.1247482299805,26.063850402832,1,159,"main",NA
-98.1075592041016,26.069580078125,1,160,"main",NA
-98.0789108276367,26.0523910522461,1,161,"main",NA
-98.0559997558594,26.0523910522461,1,162,"main",NA
-98.0158920288086,26.069580078125,1,163,"main",NA
-97.9929733276367,26.069580078125,1,164,"main",NA
-97.9815139770508,26.0581207275391,1,165,"main",NA
-97.9585952758789,26.069580078125,1,166,"main",NA
-97.8669204711914,26.069580078125,1,167,"main",NA
-97.8440017700195,26.069580078125,1,168,"main",NA
-97.8268127441406,26.0523910522461,1,169,"main",NA
-97.8096237182617,26.063850402832,1,170,"main",NA
-97.7924346923828,26.0409317016602,1,171,"main",NA
-97.7695236206055,26.0466613769531,1,172,"main",NA
-97.7351455688477,26.0352020263672,1,173,"main",NA
-97.7064895629883,26.0352020263672,1,174,"main",NA
-97.677848815918,26.0409317016602,1,175,"main",NA
-97.6492004394531,26.0352020263672,1,176,"main",NA
-97.6148147583008,25.9779052734375,1,177,"main",NA
-97.5231475830078,25.9377994537354,1,178,"main",NA
-97.494499206543,25.9377994537354,1,179,"main",NA
-97.4773101806641,25.9377994537354,1,180,"main",NA
-97.4486618041992,25.9377994537354,1,181,"main",NA
-97.4257431030273,25.9377994537354,1,182,"main",NA
-97.4142837524414,25.9377994537354,1,183,"main",NA
-97.3970947265625,25.9377994537354,1,184,"main",NA
-97.3741760253906,25.9377994537354,1,185,"main",NA
-97.3684463500977,25.9377994537354,1,186,"main",NA
-97.3741760253906,25.9377994537354,1,187,"main",NA
-97.3627243041992,25.9377994537354,1,188,"main",NA
-97.3340682983398,25.9377994537354,1,189,"main",NA
-97.299690246582,25.9377994537354,1,190,"main",NA
-97.2939605712891,25.9435291290283,1,191,"main",NA
-97.2939605712891,25.9607181549072,1,192,"main",NA
-97.2710494995117,25.9664478302002,1,193,"main",NA
-97.1679077148438,25.9664478302002,1,194,"main",NA
-97.1507263183594,26.0581207275391,1,195,"main",NA
-97.1564559936523,26.0810375213623,1,196,"main",NA
-97.1793746948242,26.0810375213623,1,197,"main",NA
-97.1851043701172,26.063850402832,1,198,"main",NA
-97.1793746948242,26.0122833251953,1,199,"main",NA
-97.2080154418945,26.0409317016602,1,200,"main",NA
-97.225212097168,26.0294723510742,1,201,"main",NA
-97.2194747924805,26.0122833251953,1,202,"main",NA
-97.2538528442383,26.0008239746094,1,203,"main",NA
-97.2653121948242,26.0409317016602,1,204,"main",NA
-97.2538528442383,26.069580078125,1,205,"main",NA
-97.225212097168,26.0867691040039,1,206,"main",NA
-97.2137451171875,26.1039562225342,1,207,"main",NA
-97.2309417724609,26.1211471557617,1,208,"main",NA
-97.2538528442383,26.1154155731201,1,209,"main",NA
-97.2825088500977,26.1039562225342,1,210,"main",NA
-97.311149597168,26.1211471557617,1,211,"main",NA
-97.3168869018555,26.144063949585,1,212,"main",NA
-97.3168869018555,26.1669826507568,1,213,"main",NA
-97.305419921875,26.2128200531006,1,214,"main",NA
-97.3455276489258,26.2300071716309,1,215,"main",NA
-97.3340682983398,26.2701148986816,1,216,"main",NA
-97.3226165771484,26.2873020172119,1,217,"main",NA
-97.3397979736328,26.2987613677979,1,218,"main",NA
-97.3627243041992,26.2873020172119,1,219,"main",NA
-97.3741760253906,26.3044929504395,1,220,"main",NA
-97.3741760253906,26.3617877960205,1,221,"main",NA
-97.3913650512695,26.3904361724854,1,222,"main",NA
-97.4200134277344,26.4133548736572,1,223,"main",NA
-97.4543914794922,26.4190845489502,1,224,"main",NA
-97.4715805053711,26.4878387451172,1,225,"main",NA
-97.4543914794922,26.527946472168,1,226,"main",NA
-97.4429321289062,26.5508651733398,1,227,"main",NA
-97.4543914794922,26.6081600189209,1,228,"main",NA
-97.4658508300781,26.6539974212646,1,229,"main",NA
-97.494499206543,26.7628574371338,1,230,"main",NA
-97.5116882324219,26.8086948394775,1,231,"main",NA
-97.5403366088867,26.8373432159424,1,232,"main",NA
-97.5689849853516,26.8545322418213,1,233,"main",NA
-97.5689849853516,26.900369644165,1,234,"main",NA
-97.5575256347656,26.9290161132812,1,235,"main",NA
-97.5689849853516,26.969123840332,1,236,"main",NA
-97.5575256347656,26.9920425415039,1,237,"main",NA
-97.5460662841797,27.0092296600342,1,238,"main",NA
-97.5002288818359,27.0264205932617,1,239,"main",NA
-97.48876953125,27.049337387085,1,240,"main",NA
-97.494499206543,27.0665264129639,1,241,"main",NA
-97.5059585571289,27.0951747894287,1,242,"main",NA
-97.494499206543,27.1180934906006,1,243,"main",NA
-97.4715805053711,27.1295528411865,1,244,"main",NA
-97.4543914794922,27.1524696350098,1,245,"main",NA
-97.4543914794922,27.1983070373535,1,246,"main",NA
-97.4543914794922,27.2556018829346,1,247,"main",NA
-97.4773101806641,27.2670612335205,1,248,"main",NA
-97.5059585571289,27.2556018829346,1,249,"main",NA
