"long","lat","group","order","region","subregion"
172.74333190918,-34.4421539306641,1,1,"North.Island ",NA
172.79833984375,-34.4556198120117,1,2,"North.Island ",NA
172.852767944336,-34.4484596252441,1,3,"North.Island ",NA
172.89860534668,-34.4178619384766,1,4,"North.Island ",NA
172.959335327148,-34.4250259399414,1,5,"North.Island ",NA
173.018356323242,-34.3989524841309,1,6,"North.Island ",NA
173.022933959961,-34.4466247558594,1,7,"North.Island ",NA
173.018356323242,-34.4934349060059,1,8,"North.Island ",NA
172.961624145508,-34.504264831543,1,9,"North.Island ",NA
172.918090820312,-34.4736671447754,1,10,"North.Island ",NA
172.935287475586,-34.5222549438477,1,11,"North.Island ",NA
172.880844116211,-34.5150375366211,1,12,"North.Island ",NA
172.904907226562,-34.5564613342285,1,13,"North.Island ",NA
172.955337524414,-34.5330276489258,1,14,"North.Island ",NA
172.937576293945,-34.5780601501465,1,15,"North.Island ",NA
172.975967407227,-34.6122665405273,1,16,"North.Island ",NA
172.992568969727,-34.5672340393066,1,17,"North.Island ",NA
173.021789550781,-34.6140441894531,1,18,"North.Island ",NA
173.03955078125,-34.6590194702148,1,19,"North.Island ",NA
173.067642211914,-34.7004432678223,1,20,"North.Island ",NA
173.104873657227,-34.7337303161621,1,21,"North.Island ",NA
173.149002075195,-34.7661628723145,1,22,"North.Island ",NA
173.183944702148,-34.8057518005371,1,23,"North.Island ",NA
173.135818481445,-34.7823181152344,1,24,"North.Island ",NA
173.140396118164,-34.8291282653809,1,25,"North.Island ",NA
173.182220458984,-34.8597259521484,1,26,"North.Island ",NA
173.232635498047,-34.8831596374512,1,27,"North.Island ",NA
173.291656494141,-34.893928527832,1,28,"North.Island ",NA
173.268737792969,-34.9353561401367,1,29,"North.Island ",NA
173.233779907227,-34.9767265319824,1,30,"North.Island ",NA
173.245254516602,-35.0217590332031,1,31,"North.Island ",NA
173.301971435547,-35.0217590332031,1,32,"North.Island ",NA
173.341506958008,-34.9803314208984,1,33,"North.Island ",NA
173.336929321289,-34.9317474365234,1,34,"North.Island ",NA
173.311706542969,-34.8867683410645,1,35,"North.Island ",NA
173.359848022461,-34.8579483032227,1,36,"North.Island ",NA
173.403381347656,-34.8282699584961,1,37,"North.Island ",NA
173.458389282227,-34.8372688293457,1,38,"North.Island ",NA
173.430313110352,-34.8804664611816,1,39,"North.Island ",NA
173.39421081543,-34.9191398620605,1,40,"North.Island ",NA
173.41828918457,-34.966869354248,1,41,"North.Island ",NA
173.469284057617,-34.9938545227051,1,42,"North.Island ",NA
173.523696899414,-34.9902458190918,1,43,"North.Island ",NA
173.559234619141,-35.0280609130859,1,44,"North.Island ",NA
173.5615234375,-34.9794158935547,1,45,"North.Island ",NA
173.569549560547,-34.9290542602539,1,46,"North.Island ",NA
173.622268676758,-34.9452705383301,1,47,"North.Island ",NA
173.673248291016,-34.9650344848633,1,48,"North.Island ",NA
173.725952148438,-34.9857215881348,1,49,"North.Island ",NA
173.774658203125,-35.0091514587402,1,50,"North.Island ",NA
173.742004394531,-35.0505218505859,1,51,"North.Island ",NA
173.698455810547,-35.0784225463867,1,52,"North.Island ",NA
173.758041381836,-35.0847282409668,1,53,"North.Island ",NA
173.790130615234,-35.0451354980469,1,54,"North.Island ",NA
173.835968017578,-35.0127601623535,1,55,"North.Island ",NA
173.891555786133,-35.0271415710449,1,56,"North.Island ",NA
173.944259643555,-35.0631294250488,1,57,"North.Island ",NA
173.947113037109,-35.1099395751953,1,58,"North.Island ",NA
173.989517211914,-35.1405334472656,1,59,"North.Island ",NA
174.044525146484,-35.1342315673828,1,60,"North.Island ",NA
174.101821899414,-35.1432266235352,1,61,"North.Island ",NA
174.135055541992,-35.1828155517578,1,62,"North.Island ",NA
174.080627441406,-35.204418182373,1,63,"North.Island ",NA
174.068588256836,-35.1594390869141,1,64,"North.Island ",NA
174.013595581055,-35.1540565490723,1,65,"North.Island ",NA
174.038787841797,-35.1954231262207,1,66,"North.Island ",NA
173.988372802734,-35.2197723388672,1,67,"North.Island ",NA
174.043380737305,-35.226016998291,1,68,"North.Island ",NA
174.090942382812,-35.2584457397461,1,69,"North.Island ",NA
174.109268188477,-35.3088684082031,1,70,"North.Island ",NA
174.119003295898,-35.3592300415039,1,71,"North.Island ",NA
174.183181762695,-35.3592300415039,1,72,"North.Island ",NA
